k,n,recall,precision,coverage
8,30,0.24282206744500676,0.17221037668798864,0.29263005780346824
20,30,0.24161948188605503,0.17135749822316987,0.29985549132947975
12,30,0.24297239063987575,0.17231698649609098,0.2976878612716763
8,16,0.16029463346194317,0.21315298507462688,0.23627167630057805
8,12,0.12977902490354262,0.2300995024875622,0.21315028901734104
8,12,0.11209099564062736,0.19873845060412224,0.3302023121387283
